2026-03-31 12:45:57 | INFO | data_loader | Train samples : 4480
2026-03-31 23:48:45 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-03-31 23:51:06 | INFO | data_loader | Train samples : 4480
2026-03-31 23:51:06 | INFO | data_loader | Val samples   : 1120
2026-03-31 23:51:06 | INFO | data_loader | Test samples  : 1600
2026-03-31 23:51:06 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 00:13:41 | INFO | data_loader | Train samples : 4480
2026-04-01 00:13:41 | INFO | data_loader | Val samples   : 1120
2026-04-01 00:13:41 | INFO | data_loader | Test samples  : 1600
2026-04-01 00:13:41 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 00:14:18 | INFO | data_loader | Train samples : 4480
2026-04-01 00:14:18 | INFO | data_loader | Val samples   : 1120
2026-04-01 00:14:18 | INFO | data_loader | Test samples  : 1600
2026-04-01 00:14:18 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 00:20:40 | INFO | data_loader | Train samples : 4480
2026-04-01 00:20:40 | INFO | data_loader | Val samples   : 1120
2026-04-01 00:20:40 | INFO | data_loader | Test samples  : 1600
2026-04-01 00:20:40 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 00:21:49 | INFO | data_loader | Train samples : 4480
2026-04-01 00:21:49 | INFO | data_loader | Val samples   : 1120
2026-04-01 00:21:49 | INFO | data_loader | Test samples  : 1600
2026-04-01 00:21:49 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 11:32:15 | INFO | data_loader | Train samples : 4480
2026-04-01 11:32:15 | INFO | data_loader | Val samples   : 1120
2026-04-01 11:32:15 | INFO | data_loader | Test samples  : 1600
2026-04-01 11:32:15 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 11:35:30 | INFO | data_loader | Train samples : 4480
2026-04-01 11:35:30 | INFO | data_loader | Val samples   : 1120
2026-04-01 11:35:30 | INFO | data_loader | Test samples  : 1600
2026-04-01 11:35:30 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 11:45:39 | INFO | data_loader | Train samples : 4480
2026-04-01 11:45:39 | INFO | data_loader | Val samples   : 1120
2026-04-01 11:45:39 | INFO | data_loader | Test samples  : 1600
2026-04-01 11:45:39 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
2026-04-01 11:50:04 | INFO | data_loader | Train samples : 4480
2026-04-01 11:50:04 | INFO | data_loader | Val samples   : 1120
2026-04-01 11:50:04 | INFO | data_loader | Test samples  : 1600
2026-04-01 11:50:04 | INFO | data_loader | Classes       : {'glioma': 0, 'meningioma': 1, 'notumor': 2, 'pituitary': 3}
