2026-04-01 00:27:54 | INFO | predict | Loading TF model from ./saved_models\best_brain_tumor_model.h5
2026-04-01 11:28:31 | INFO | predict | Loading onnx_static from ./onnx_models\model_static_int8.onnx
2026-04-01 11:28:38 | INFO | predict | Loading TF model from ./saved_models\ft_best.h5
2026-04-01 11:28:40 | INFO | predict | Loading onnx_fp32 from ./onnx_models\model_fp32.onnx
2026-04-01 11:28:40 | INFO | predict | Loading onnx_dynamic from ./onnx_models\model_dynamic_int8.onnx
2026-04-01 11:28:40 | INFO | predict | Loading onnx_static from ./onnx_models\model_static_int8.onnx
2026-04-01 11:46:37 | INFO | predict | Loading TF model from ./saved_models\ft_best.h5
2026-04-01 11:46:39 | INFO | predict | Loading ONNX FP32 from ./onnx_models\model_fp32.onnx
2026-04-01 11:46:39 | INFO | predict | Loading ONNX Dynamic INT8 from ./onnx_models\model_dynamic_int8.onnx
2026-04-01 11:46:39 | INFO | predict | Loading ONNX Static INT8 from ./onnx_models\model_static_int8.onnx
2026-04-01 11:51:09 | INFO | predict | Loading TF model from ./saved_models\ft_best.h5
2026-04-01 11:51:10 | INFO | predict | Loading ONNX FP32 from ./onnx_models\model_fp32.onnx
2026-04-01 11:51:10 | INFO | predict | Loading ONNX Dynamic INT8 from ./onnx_models\model_dynamic_int8.onnx
2026-04-01 11:51:10 | INFO | predict | Loading ONNX Static INT8 from ./onnx_models\model_static_int8.onnx
2026-04-01 12:06:18 | INFO | predict | Loading TF model from ./saved_models\ft_best.h5
2026-04-01 12:06:20 | INFO | predict | Loading ONNX FP32 from ./onnx_models\model_fp32.onnx
2026-04-01 12:06:20 | INFO | predict | Loading ONNX Dynamic INT8 from ./onnx_models\model_dynamic_int8.onnx
2026-04-01 12:06:20 | INFO | predict | Loading ONNX Static INT8 from ./onnx_models\model_static_int8.onnx
